epoch,train_loss,val_AUPRC,val_AUROC
1,0.16815684618176563,0.8769000476419746,0.8767529159354995
2,0.15519209468043607,0.9225386834023699,0.9194770652815974
3,0.14639525320979305,0.9381256049791493,0.93903698771107
4,0.14056444196289203,0.9423666408368236,0.9484066271186694
5,0.13566298161966878,0.9491826790126923,0.9558861761327369
6,0.13102148206689618,0.9497886771753425,0.9587968388644023
7,0.1271090186981274,0.9499692711328139,0.960394042106107
8,0.1243986347552307,0.952160772681029,0.9624496498638624
9,0.12225623293854784,0.9510859435226652,0.9626457221876867
10,0.1205933197138822,0.95180106193448,0.9629852561772282
11,0.11932779663341717,0.9540403914384699,0.9647529960069307
12,0.11825731831699214,0.9507502971652186,0.963262333986538
13,0.11759334076163787,0.9515238423091165,0.9641088844281672
14,0.11670623289455921,0.9501147961806835,0.9644702801365521
15,0.11590151240560702,0.9494282944352563,0.9640749422041285
16,0.1152646991320127,0.9527655261862752,0.9664908302872078
17,0.11477163859707121,0.9553805735156008,0.9667759434932014
18,0.11394474472706613,0.9536227218928774,0.967051702451652
19,0.11321004889690012,0.9484380624332855,0.964568351615414
20,0.11287056863499617,0.952520246340046,0.9656512567880153
21,0.11250392884786113,0.949793297150961,0.9646180451989187
22,0.11197138481725186,0.9484875196750902,0.9631109592156641
23,0.11165607305652879,0.9454557597222065,0.9629976223807308
24,0.11134797708377517,0.9488704934370128,0.9641120829841285
25,0.11106279385427373,0.9456143682743158,0.9632193790878408
26,0.1107144190523345,0.949085064207861,0.9633579680687674
27,0.11049417894692762,0.9413441175057579,0.9618604851330582
